roadId,position,laneId,routeId
939088188,174.30191745650407,1,subida_imigrantes
939088188,19.839674801299317,1,subida_imigrantes
153713955#1,27.251164861528252,1,subida_imigrantes
153713955#1,292.1432092887059,1,subida_imigrantes
142700914#1,40.143503442703896,1,subida_imigrantes
385513740#2,40.51674925025859,1,subida_imigrantes
619763204#5-AddedOffRampEdge,54.6217093930432,0,subida_imigrantes
619763204#5-AddedOffRampEdge,33.97935065572933,1,subida_imigrantes
619763204#5,2.0950690400268073,2,subida_imigrantes
619763204#3,155.4855323197316,0,subida_imigrantes
153713955#1,84.09386881914345,0,subida_imigrantes
142700913#1,13.497490308378259,0,subida_imigrantes
619763204#1,7.184102379895857,3,subida_imigrantes
193125283#1,30.544875247917208,3,subida_imigrantes
619825919,66.08049433257939,1,subida_imigrantes
619763204#6,162.45597828916516,1,subida_imigrantes
619825349,26.150417559926257,5,subida_imigrantes
385513740#3,226.4200267762782,0,subida_imigrantes
619763204#3,113.20262673091622,2,subida_imigrantes
619762715,39.67406801821152,0,subida_imigrantes
232275969,49.587559312698346,1,subida_imigrantes
619825919,17.369738032091124,0,subida_imigrantes
232275969,37.96802811624975,3,subida_imigrantes
193125283#2-AddedOffRampEdge,28.601469476107205,2,subida_imigrantes
385513740#2,31.6114200764548,2,subida_imigrantes
